level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3299	-1	
2	1	1	0	0	0	644	280	1240	2954	-1	
3	1	1	1	0	0	673	280	969	397	-1	
4	1	1	1	1	0	912	280	730	44	-1	
5	1	1	1	1	1	912	286	103	38	96.939926	Sklep
5	1	1	1	1	2	1031	287	96	29	93.238632	4612
5	1	1	1	1	3	1147	280	290	39	92.739586	MARCELIŃSKA/
5	1	1	1	1	4	1453	287	128	29	96.335075	POLNA
5	1	1	1	1	5	1597	287	45	29	96.815353	41
4	1	1	1	2	0	988	342	574	38	-1	
5	1	1	1	2	1	988	342	175	38	96.399040	Jeronimo
5	1	1	1	2	2	1182	342	141	30	96.557060	Martins
5	1	1	1	2	3	1341	342	120	30	93.288719	Polska
5	1	1	1	2	4	1479	342	31	30	92.992180	S.
5	1	1	1	2	5	1526	343	36	28	96.544487	A.
4	1	1	1	3	0	985	392	586	43	-1	
5	1	1	1	3	1	985	397	41	30	96.363068	ul.
5	1	1	1	3	2	1044	392	139	35	76.366669	Żniwna
5	1	1	1	3	3	1202	398	31	33	96.924789	5,
5	1	1	1	3	4	1252	398	135	29	96.853477	62-025
5	1	1	1	3	5	1407	398	164	37	96.166656	Kostrzyn
4	1	1	1	4	0	1094	453	367	30	-1	
5	1	1	1	4	1	1094	454	60	28	93.189629	NIP
5	1	1	1	4	2	1170	453	291	30	91.678047	779-10-11-327
4	1	1	1	5	0	673	539	417	35	-1	
5	1	1	1	5	1	673	539	266	35	96.276749	02.01.2026
5	1	1	1	5	2	962	539	128	35	95.778900	18:21
4	1	1	1	6	0	1157	647	244	30	-1	
5	1	1	1	6	1	1157	647	244	30	91.440201	NIEFISKALNY
3	1	1	2	0	0	644	817	1240	2417	-1	
4	1	1	2	1	0	674	817	1209	32	-1	
5	1	1	2	1	1	674	820	124	29	96.234444	Nazwa
5	1	1	2	1	2	1143	820	69	29	96.452950	PTU
5	1	1	2	1	3	1326	817	83	32	92.132851	Ilość
5	1	1	2	1	4	1563	820	95	29	96.506638	Cena
5	1	1	2	1	5	1726	817	157	32	48.295654	Wartość
4	1	1	2	2	0	670	903	1212	34	-1	
5	1	1	2	2	1	670	903	110	30	96.521683	Torba
